LAD23CD,borough_total_area,borough_area_covered,area_coverage_rate,borough_total_area_km2,borough_area_covered_km2
E06000051,2781664401.112321,84439100.19964808,0.03035560298570989,2781.664401112321,84.43910019964808
E06000052,3474786024.990203,313945479.1802332,0.09034958611044787,3474.786024990203,313.9454791802332
E06000053,16387456.763571396,1202588.2573898388,0.07338467919336576,16.387456763571397,1.2025882573898388
E06000054,3029839515.085922,454642021.37030673,0.15005481944063093,3029.839515085922,454.64202137030674
E06000055,407456528.9644188,73232504.49687795,0.17973084069361664,407.45652896441885,73.23250449687795
E06000056,596259089.5525147,119041443.98398373,0.19964717699032966,596.2590895525146,119.04144398398373
E06000057,4866177953.204683,217420380.2943723,0.04467990739039606,4866.177953204683,217.42038029437228
E06000058,157596715.81135297,126874540.13344242,0.8050582747251807,157.59671581135296,126.87454013344242
E06000059,2431594753.790732,391481644.67070925,0.16099789821490995,2431.594753790732,391.4816446707093
E06000060,1424377826.4059405,181628643.951904,0.12751437194876744,1424.3778264059406,181.628643951904
E06000061,945548891.6070771,167239718.50749776,0.1768705140389443,945.5488916070772,167.23971850749777
E06000062,1328834458.031227,195167093.58811474,0.1468708855407544,1328.834458031227,195.16709358811474
E06000063,2858954731.574578,78111122.0904528,0.027321566594876747,2858.9547315745776,78.11112209045281
E06000064,3773375539.085058,66474517.08193026,0.017616724440326588,3773.3755390850583,66.47451708193026
E06000065,7855496863.5298815,239554802.77567354,0.030495181519050236,7855.496863529882,239.55480277567355
E06000066,3333905207.317144,459079975.6226509,0.13770036850930178,3333.905207317144,459.0799756226509
E07000008,26543391.37289628,22342442.86232027,0.8417327894706914,26.54339137289628,22.34244286232027
E07000009,644504187.3538343,57500758.73689994,0.08921704445859852,644.5041873538343,57.50075873689994
E07000010,539716933.7806658,97048902.45568874,0.17981444787338877,539.7169337806657,97.04890245568875
E07000011,833846349.8251678,110255496.01671539,0.13222519477339276,833.8463498251677,110.2554960167154
