LAD23CD,borough_total_area,borough_area_covered,area_coverage_rate,borough_total_area_km2,borough_area_covered_km2,borough_pop,cov_pop,coverage_rate,pop_density_km2,served_pop_density_km2,served_pop_over_total_km2,cov_pop_share
E06000039,30079255.15691716,22309620.836780116,0.7416945905207927,30.079255156917164,22.309620836780116,145369.0,127736.57383447948,0.8787057339218091,4832.865682399395,5725.627287393887,4246.666786398286,0.8787057339218092
E06000040,198393557.91004735,46013642.95694934,0.231931134466635,198.39355791004735,46.01364295694934,153922.0,97012.8353776432,0.6302727055108639,775.8417240028984,2108.3493751713822,488.9918624355198,0.630272705510864
E06000041,124313440.50451508,37923203.2295236,0.3050611669632475,124.31344050451509,37.9232032295236,150405.0,97559.50594616465,0.6486453638254356,1209.8852657411348,2572.5544689804465,784.7864683836923,0.6486453638254356
E06000042,266752597.7788944,99959816.40507364,0.3747285583622627,266.7525977788944,99.95981640507362,246972.0,225306.39614605196,0.912275060112288,925.8466536273804,2253.969687509512,844.626811592679,0.9122750601122879
E06000043,82813695.10460344,42666013.518461876,0.5152048035602044,82.81369510460344,42.666013518461874,276454.0,240169.44282049537,0.8687501096764575,3338.2642768301316,5629.057486623924,2900.1174566251766,0.8687501096764575
E06000044,40339020.8190955,34163644.54963254,0.8469130845501415,40.3390208190955,34.163644549632544,207119.0,195824.8799378932,0.9454703814613492,5134.45779779451,5731.966905738089,4854.477772677975,0.9454703814613492
E06000045,47641972.80330735,44000452.08864717,0.9235648630736932,47.64197280330735,44.00045208864717,236467.0,226459.41870103992,0.9576787403783188,4963.417467539973,5146.752088928425,4753.359388285427,0.9576787403783188
E06000046,380245683.49545974,50547945.92295343,0.1329349631487848,380.2456834954598,50.547945922953424,140885.0,75356.88510793727,0.5348822451498546,370.51045183444455,1490.8001449316716,198.17946232869477,0.5348822451498546
E06000047,1876593923.5631092,306089645.74661326,0.1631091531861286,1876.5939235631092,306.08964574661326,480020.0,318928.6774420927,0.6644070610434829,255.79321875271813,1041.9453316173517,169.95082070634618,0.6644070610434829
E06000049,884371166.135912,116769955.35330696,0.132037271028985,884.371166135912,116.76995535330695,369183.0,230662.2761022839,0.6247911634671258,417.45255175275946,1975.3563783113282,260.8206655019271,0.6247911634671258
E06000050,899746595.8935804,105341962.93722166,0.117079590429127,899.7465958935804,105.34196293722168,334045.0,196679.7315630756,0.5887821448100573,371.26564470993554,1867.0596795342276,218.59458258660456,0.5887821448100573
E06000051,2781664401.112321,84439100.19964808,0.0303556029857098,2781.664401112321,84.43910019964808,298831.0,112339.3892288578,0.3759295027251449,107.4288472327951,1330.419070824324,40.385673118560234,0.375929502725145
E06000052,3474786024.990203,313945479.1802332,0.0903495861104478,3474.786024990203,313.9454791802332,537699.0,264092.1096789492,0.4911523169634855,154.74305356731026,841.2037350196604,76.00240929358917,0.4911523169634855
