LSOA11CD,Total
E01012584,"1,681"
E01012585,"1,801"
E01012586,"1,670"
E01012587,"2,404"
E01012588,"2,213"
E01012589,"1,374"
E01012590,"1,293"
E01012591,"1,556"
E01012592,"1,925"
E01012593,"1,607"
E01012594,"1,392"
E01012595,"2,164"
E01012596,"2,014"
E01012597,"1,655"
E01012598,"2,946"
E01012599,"1,279"
E01012600,"1,346"
E01012601,"1,526"
E01012602,"1,569"
E01012603,"1,720"
E01012604,"1,668"
E01012605,"2,328"
E01012606,"1,775"
E01012607,"1,615"
E01012608,"2,285"
E01012609,"1,519"
E01012610,"1,315"
E01012611,"1,105"
E01012612,"1,375"
E01012613,"1,878"
E01012614,"1,619"
E01012615,"1,385"
E01012616,"1,971"
E01012617,"1,326"
E01012618,"1,536"
E01012619,"1,319"
E01012620,"1,490"
E01012621,"1,502"
E01012622,"1,617"
E01012623,"1,404"
E01012624,"1,461"
E01012625,"1,814"
E01012628,"1,152"
E01012629,"1,302"
E01012630,"2,283"
E01012631,"1,441"
E01012632,"2,246"
E01012633,"1,707"
E01012634,"1,593"
E01012635,"1,901"
E01012636,"1,765"
E01012637,"1,750"
E01012638,"1,681"
E01012639,"2,059"
E01012640,"2,017"
E01012641,"1,868"
E01012642,"1,911"
E01012643,"1,665"
E01012644,"2,468"
E01012645,"2,124"
E01012646,"1,634"
E01012647,"1,568"
E01012648,"1,176"
E01012649,"1,589"
E01012650,"1,491"
E01012651,"1,508"
E01012652,"1,420"
E01012653,"1,543"
E01012654,"1,706"
E01012655,"2,228"
E01012656,"1,829"
E01012657,"2,144"
E01012658,"1,917"
E01012659,"1,343"
E01012660,"1,104"
E01012661,"1,496"
E01032485,"1,916"
E01032486,"1,335"
E01012662,"1,418"
E01012663,"1,553"
E01012664,"1,627"
E01012665,"1,670"
E01012666,"1,399"
E01012667,"1,485"
E01012668,"1,575"
E01012669,"1,783"
E01012670,"1,519"
E01012671,"1,475"
E01012672,"1,548"
E01012673,"1,337"
E01012674,"1,756"
E01012675,"1,629"
E01012676,"1,402"
E01012677,"1,370"
E01012678,"1,021"
E01012679,"1,416"
E01012680,"1,698"
E01012681,"1,647"
E01012682,"1,453"
E01012683,"1,387"
E01012684,"1,410"
E01012685,"1,329"
E01012686,"1,450"
E01012687,"1,284"
E01012688,"1,080"
E01012689,"1,388"
E01012690,"1,643"
E01012691,"1,856"
E01012692,"1,597"
E01012693,"1,553"
E01012694,"1,359"
E01012695,"1,385"
E01012696,"1,525"
E01012697,"1,270"
E01012698,"1,626"
E01012699,"1,677"
E01012700,"1,773"
E01012701,"1,466"
E01012702,"1,419"
E01012703,"1,468"
E01012704,"2,015"
E01012705,"1,520"
E01012706,"1,508"
E01012707,"1,266"
E01012708,"1,283"
E01012709,"1,512"
E01012710,"1,232"
E01012711,"1,431"
E01012712,"1,688"
E01012713,"1,825"
E01012714,"1,878"
E01012715,"1,486"
E01012716,"1,378"
E01012717,"1,567"
E01012718,"1,579"
E01012719,"1,429"
E01012720,"1,651"
E01012721,"1,688"
E01012722,"1,145"
E01012723,"1,363"
E01012724,"1,483"
E01012725,"1,447"
E01012726,"1,694"
E01012727,"1,639"
E01012728,"1,492"
E01012729,"1,598"
E01012730,"1,899"
E01012731,"1,546"
E01012732,"1,781"
E01012733,"1,014"
E01012734,"1,367"
E01012735,"1,284"
E01012736,"1,536"
E01012737,"1,278"
E01012738,"1,344"
E01012739,"1,365"
E01012740,"1,499"
E01012741,"1,349"
E01012742,"1,165"
E01012743,"1,699"
E01012744,"1,628"
E01012745,"1,650"
E01012746,"1,661"
E01012747,"1,538"
E01012748,"1,713"
E01012749,"1,669"
E01012750,"1,726"
E01012751,"1,586"
E01012752,"1,338"
E01012753,"1,165"
E01012754,"1,215"
E01012755,"1,438"
E01012756,"1,474"
E01012757,"1,350"
E01012758,"1,558"
E01012759,"1,641"
E01012760,"1,417"
E01012761,"1,709"
E01012762,"1,353"
E01012763,"1,701"
E01012764,"1,171"
E01012765,"1,388"
E01012766,"1,403"
E01012767,"1,482"
E01012768,"1,297"
E01012769,"1,307"
E01012770,"1,550"
E01012771,"1,564"
E01012772,"1,551"
E01012773,"1,545"
E01012774,"1,513"
E01012775,"1,620"
E01012776,"1,424"
E01012777,"1,580"
E01012778,"1,408"
E01012779,"1,320"
E01012780,"1,845"
E01012781,"1,285"
E01012782,"1,443"
E01012783,"1,306"
E01012784,"1,978"
E01012785,"1,323"
E01012786,"1,258"
E01012787,"1,445"
E01012788,"1,422"
E01012789,"1,279"
E01012790,"1,356"
E01012791,"1,613"
E01012792,"1,507"
E01012793,"1,419"
E01012794,"1,459"
E01012795,"2,009"
E01012796,"1,228"
E01012797,"1,330"
E01012798,"1,691"
E01012799,"1,246"
E01012800,"1,412"
E01012801,"1,459"
E01012802,"1,332"
E01012803,"1,390"
E01012804,"1,681"
E01012805,"1,359"
E01012806,"1,434"
E01012807,"1,373"
E01012808,"1,671"
E01012809,"1,750"
E01012810,"1,868"
E01012811,"1,581"
E01012812,"1,339"
E01012813,"1,642"
E01012814,"1,487"
E01012815,"1,506"
E01012816,"1,456"
E01012817,"1,432"
E01012818,"1,217"
E01012819,"1,393"
E01012820,"1,303"
E01012821,"1,842"
E01012822,"1,538"
E01012824,"1,997"
E01012825,"1,487"
E01012827,"1,584"
E01012828,"1,503"
E01012829,"1,823"
E01012830,"1,413"
E01012832,"1,786"
E01012833,"1,608"
E01012834,"1,728"
E01012835,"1,055"
E01012836,"1,436"
E01012837,"1,615"
E01012838,"1,640"
E01012839,"1,359"
E01012840,"1,512"
E01012841,"1,571"
E01012842,"1,477"
E01012843,"1,610"
E01012844,"1,252"
E01012845,"1,519"
E01012846,"1,343"
E01012847,"1,273"
E01012848,"1,861"
E01012849,"1,568"
E01012850,"1,647"
E01012852,"1,657"
E01012854,"2,150"
E01012855,"2,141"
E01012856,"1,733"
E01012857,"1,767"
E01012858,"2,253"
E01012859,"1,627"
E01012860,"2,432"
E01012862,"1,400"
E01012863,"2,406"
E01012864,"1,743"
E01012865,"1,295"
E01012866,"1,633"
E01012867,"1,709"
E01012868,"1,669"
E01012869,"1,565"
E01012870,"1,711"
E01012871,"1,633"
E01012872,"1,436"
E01012873,"1,506"
E01012874,"1,520"
E01012875,"1,701"
E01012876,"1,688"
E01012877,"1,592"
E01012878,"1,823"
E01012879,"1,395"
E01012880,"1,766"
E01012881,"1,507"
E01012882,"1,551"
E01012883,"1,482"
E01012884,"1,892"
E01012886,"1,570"
E01012887,"1,536"
E01012888,"1,548"
E01012889,"1,655"
E01012891,"2,364"
E01012892,"2,040"
E01012893,"1,610"
E01012894,"2,195"
E01012896,"1,977"
E01012898,"1,688"
E01012899,"1,430"
E01012900,"1,582"
E01012901,"1,487"
E01012902,"1,535"
E01012903,"1,670"
E01012904,"1,259"
E01012905,"1,326"
E01012906,"1,582"
E01012907,"1,476"
E01012908,"1,052"
E01012909,"1,174"
E01012910,"1,217"
E01012911,"1,122"
E01012912,"1,666"
E01012913,"1,982"
E01012914,"3,209"
E01012915,"1,538"
E01012916,"1,937"
E01012917,"1,854"
E01012918,"1,719"
E01032595,"1,855"
E01033104,"1,383"
E01033105,"1,537"
E01033107,"1,328"
E01033109,"1,460"
E01035463,"2,425"
E01035464,"2,279"
E01035465,"1,131"
E01035466,"1,329"
E01035467,"1,622"
E01035468,"1,207"
E01035469,"2,069"
E01035470,"2,524"
E01035471,"1,336"
E01035472,"1,748"
E01012919,"1,440"
E01012921,"1,150"
E01012922,"1,509"
E01012923,"2,187"
E01012924,"1,705"
E01012925,"1,335"
E01012926,"2,322"
E01012927,"1,466"
E01012928,"1,683"
E01012929,"1,852"
E01012930,"1,364"
E01012931,"1,541"
E01012932,"1,645"
E01012933,"1,028"
E01012934,"1,722"
E01012935,"1,334"
E01012936,"1,191"
E01012937,"2,134"
E01012939,"1,890"
E01012940,"1,598"
E01012941,"1,336"
E01012942,"1,218"
E01012943,"1,690"
E01012944,"1,417"
E01012945,"1,490"
E01012946,"1,550"
E01012947,"1,390"
E01012948,"1,377"
E01012949,"1,319"
E01012950,"1,308"
E01012951,"1,212"
E01012952,"1,503"
E01012953,"1,327"
E01012954,"1,453"
E01012955,"1,589"
E01012956,"1,196"
E01012957,"1,344"
E01012958,"1,030"
E01012959,"1,476"
E01012960,"1,638"
E01012961,"2,218"
E01012962,"1,165"
E01012963,"1,454"
E01012964,"1,721"
E01012966,"1,248"
E01012967,"1,577"
