LAD23CD,borough_pop,cov_pop,coverage_rate
E07000079,76445.0,21952.061573869156,0.28716150924022704
E07000080,87114.0,24178.60388940434,0.2775512993250722
E07000081,118544.0,109890.60596536341,0.9270026822560687
E07000082,111454.0,46191.78492319376,0.4144470806179568
E07000083,78987.0,27017.835856901198,0.34205420964084216
E07000084,168645.0,111647.9976721025,0.6620296935699398
E07000085,119797.0,54773.718937605314,0.4572211235473786
E07000086,122441.0,92036.70146639718,0.7516820465889463
E07000087,114952.0,93818.15172552304,0.8161506691969086
E07000088,73865.0,63354.892807510165,0.8577119448657708
E07000089,92732.0,49959.51732096372,0.5387516425933196
E07000090,122097.0,102017.2830281084,0.8355429128324889
E07000091,176217.0,107489.78590324048,0.6099853357124482
E07000092,93326.0,79264.26648425481,0.8493267308601549
